Date,Hour,Station,CO,FSP,NO2,NOX,O3,RSP,SO2
30/6/2020,1,Tap Mun,21,2,7,7,22,3,1
30/6/2020,2,Tap Mun,22,1,5,6,24,3,3
30/6/2020,3,Tap Mun,20,2,8,9,29,4,4
30/6/2020,4,Tap Mun,21,0,6,7,30,1,3
30/6/2020,5,Tap Mun,22,1,7,8,13,3,2
30/6/2020,6,Tap Mun,22,1,5,6,14,1,2
30/6/2020,7,Tap Mun,24,N.A.,8,10,16,N.A.,1
30/6/2020,8,Tap Mun,23,N.A.,7,11,26,N.A.,3
30/6/2020,9,Tap Mun,22,2,9,15,28,3,3
30/6/2020,10,Tap Mun,23,4,10,15,32,4,4
30/6/2020,11,Tap Mun,22,3,8,12,42,3,4
30/6/2020,12,Tap Mun,22,5,6,8,51,5,4
30/6/2020,13,Tap Mun,20,2,3,4,67,2,3
30/6/2020,14,Tap Mun,20,1,4,4,74,2,3
30/6/2020,15,Tap Mun,20,1,5,6,80,1,2
30/6/2020,16,Tap Mun,N.A.,2,N.A.,N.A.,N.A.,2,N.A.
30/6/2020,17,Tap Mun,17,2,4,5,70,2,N.A.
30/6/2020,18,Tap Mun,16,2,7,8,59,3,3
30/6/2020,19,Tap Mun,15,3,10,11,51,3,3
30/6/2020,20,Tap Mun,14,3,9,10,51,3,4
30/6/2020,21,Tap Mun,13,1,8,9,51,1,3
30/6/2020,22,Tap Mun,14,1,6,7,47,0,3
30/6/2020,23,Tap Mun,15,0,9,10,36,0,3
30/6/2020,24,Tap Mun,15,2,8,9,20,2,2
1/7/2020,1,Tap Mun,N.A.,1,N.A.,N.A.,N.A.,1,N.A.
1/7/2020,2,Tap Mun,N.A.,1,N.A.,N.A.,N.A.,1,N.A.
1/7/2020,3,Tap Mun,19,3,16,17,8,4,4
1/7/2020,4,Tap Mun,21,1,9,11,8,1,3
1/7/2020,5,Tap Mun,18,3,6,7,7,3,3
1/7/2020,6,Tap Mun,20,2,6,7,7,2,2
1/7/2020,7,Tap Mun,21,0,7,10,12,1,3
1/7/2020,8,Tap Mun,23,1,6,9,17,2,3
1/7/2020,9,Tap Mun,15,1,6,9,29,3,2
1/7/2020,10,Tap Mun,15,1,7,10,34,2,3
1/7/2020,11,Tap Mun,19,3,8,13,36,4,3
1/7/2020,12,Tap Mun,18,1,8,12,46,1,3
1/7/2020,13,Tap Mun,15,3,5,7,57,4,3
1/7/2020,14,Tap Mun,18,3,4,5,72,4,1
1/7/2020,15,Tap Mun,20,3,3,4,71,4,4
1/7/2020,16,Tap Mun,20,5,5,6,72,6,4
1/7/2020,17,Tap Mun,22,2,4,5,60,3,3
1/7/2020,18,Tap Mun,21,2,3,4,61,3,3
1/7/2020,19,Tap Mun,21,3,6,7,52,5,3
1/7/2020,20,Tap Mun,20,4,6,6,47,7,4
1/7/2020,21,Tap Mun,21,4,6,7,47,6,3
1/7/2020,22,Tap Mun,20,1,6,7,46,4,3
1/7/2020,23,Tap Mun,19,4,4,4,48,7,2
1/7/2020,24,Tap Mun,19,3,6,6,43,5,2
2/7/2020,1,Tap Mun,19,2,4,5,45,4,1
2/7/2020,2,Tap Mun,19,3,4,5,45,5,3
2/7/2020,3,Tap Mun,20,3,6,6,47,6,3
2/7/2020,4,Tap Mun,21,5,4,5,42,9,3
2/7/2020,5,Tap Mun,22,3,5,6,43,8,3
2/7/2020,6,Tap Mun,22,2,5,5,43,7,3
