日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2
30/6/2017,1,中西区,N.A.,3,12,13,29,6,6
30/6/2017,2,中西区,N.A.,6,8,9,27,8,7
30/6/2017,3,中西区,N.A.,7,8,8,29,9,6
30/6/2017,4,中西区,N.A.,7,22,25,11,9,13
30/6/2017,5,中西区,N.A.,7,11,12,22,10,6
30/6/2017,6,中西区,N.A.,8,23,34,14,11,10
30/6/2017,7,中西区,N.A.,7,27,42,13,10,7
30/6/2017,8,中西区,N.A.,6,34,107,9,10,11
30/6/2017,9,中西区,N.A.,13,43,187,5,20,30
30/6/2017,10,中西区,N.A.,11,27,67,18,17,10
30/6/2017,11,中西区,N.A.,8,21,40,29,13,7
30/6/2017,12,中西区,N.A.,8,23,38,34,14,9
30/6/2017,13,中西区,N.A.,8,26,43,35,13,11
30/6/2017,14,中西区,N.A.,8,19,28,47,13,8
30/6/2017,15,中西区,N.A.,6,18,30,43,11,9
30/6/2017,16,中西区,N.A.,9,16,26,37,13,7
30/6/2017,17,中西区,N.A.,7,12,19,38,11,4
30/6/2017,18,中西区,N.A.,6,14,22,34,10,5
30/6/2017,19,中西区,N.A.,8,22,29,28,11,11
30/6/2017,20,中西区,N.A.,8,33,40,15,12,19
30/6/2017,21,中西区,N.A.,9,31,39,11,13,15
30/6/2017,22,中西区,N.A.,10,24,28,25,14,10
30/6/2017,23,中西区,N.A.,8,30,35,16,12,16
30/6/2017,24,中西区,N.A.,8,25,27,20,11,12
1/7/2017,1,中西区,N.A.,5,16,18,24,9,6
1/7/2017,2,中西区,N.A.,6,13,14,25,9,7
1/7/2017,3,中西区,N.A.,4,12,13,27,7,8
1/7/2017,4,中西区,N.A.,4,6,6,34,7,4
1/7/2017,5,中西区,N.A.,6,9,9,28,9,7
1/7/2017,6,中西区,N.A.,4,15,17,17,7,9
1/7/2017,7,中西区,N.A.,2,7,12,20,5,6
1/7/2017,8,中西区,N.A.,3,18,66,16,6,10
1/7/2017,9,中西区,N.A.,7,14,28,21,10,7
1/7/2017,10,中西区,N.A.,7,17,28,27,10,10
1/7/2017,11,中西区,N.A.,6,17,27,30,9,7
1/7/2017,12,中西区,N.A.,7,14,23,31,10,6
1/7/2017,13,中西区,N.A.,6,12,19,33,9,8
1/7/2017,14,中西区,N.A.,4,10,15,37,8,5
1/7/2017,15,中西区,N.A.,6,7,11,34,10,4
1/7/2017,16,中西区,N.A.,6,7,11,36,11,4
1/7/2017,17,中西区,N.A.,4,8,12,32,9,4
1/7/2017,18,中西区,N.A.,4,10,13,33,9,4
1/7/2017,19,中西区,N.A.,5,16,19,22,10,4
1/7/2017,20,中西区,N.A.,5,17,20,24,12,4
