日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2
30/6/2020,1,深水涉,N.A.,2,21,29,24,4,4
30/6/2020,2,深水涉,N.A.,0,17,23,30,0,4
30/6/2020,3,深水涉,N.A.,2,13,20,32,4,4
30/6/2020,4,深水涉,N.A.,7,N.A.,N.A.,N.A.,9,N.A.
30/6/2020,5,深水涉,N.A.,7,17,23,24,7,5
30/6/2020,6,深水涉,N.A.,0,24,34,18,3,5
30/6/2020,7,深水涉,N.A.,0,23,39,20,4,4
30/6/2020,8,深水涉,N.A.,4,29,57,18,9,5
30/6/2020,9,深水涉,N.A.,4,32,67,17,8,6
30/6/2020,10,深水涉,N.A.,3,31,69,23,7,7
30/6/2020,11,深水涉,N.A.,2,31,64,28,7,6
30/6/2020,12,深水涉,N.A.,4,28,53,37,10,6
30/6/2020,13,深水涉,N.A.,7,29,52,42,13,7
30/6/2020,14,深水涉,N.A.,10,36,63,41,12,7
30/6/2020,15,深水涉,N.A.,8,37,62,43,15,7
30/6/2020,16,深水涉,N.A.,4,29,50,43,14,6
30/6/2020,17,深水涉,N.A.,5,38,62,34,14,7
30/6/2020,18,深水涉,N.A.,5,39,65,30,10,6
30/6/2020,19,深水涉,N.A.,3,49,77,16,9,6
30/6/2020,20,深水涉,N.A.,4,40,59,17,10,4
30/6/2020,21,深水涉,N.A.,5,51,75,9,9,5
30/6/2020,22,深水涉,N.A.,8,43,71,16,11,5
30/6/2020,23,深水涉,N.A.,9,42,68,16,11,5
30/6/2020,24,深水涉,N.A.,4,40,64,18,7,5
1/7/2020,1,深水涉,N.A.,1,31,47,N.A.,2,5
1/7/2020,2,深水涉,N.A.,1,19,28,24,1,4
1/7/2020,3,深水涉,N.A.,3,15,23,22,6,4
1/7/2020,4,深水涉,N.A.,5,13,21,25,7,5
1/7/2020,5,深水涉,N.A.,4,18,26,21,4,4
1/7/2020,6,深水涉,N.A.,2,19,29,21,4,4
1/7/2020,7,深水涉,N.A.,1,22,42,16,4,4
1/7/2020,8,深水涉,N.A.,1,26,52,14,5,4
1/7/2020,9,深水涉,N.A.,3,28,74,14,7,6
1/7/2020,10,深水涉,N.A.,3,28,61,N.A.,11,5
1/7/2020,11,深水涉,N.A.,5,31,60,26,10,4
1/7/2020,12,深水涉,N.A.,6,36,81,21,8,7
1/7/2020,13,深水涉,N.A.,4,45,97,19,7,8
1/7/2020,14,深水涉,N.A.,6,44,80,33,11,5
1/7/2020,15,深水涉,N.A.,4,42,73,38,12,5
1/7/2020,16,深水涉,N.A.,2,43,74,37,10,4
1/7/2020,17,深水涉,N.A.,1,39,70,37,10,4
1/7/2020,18,深水涉,N.A.,6,39,69,30,13,4
1/7/2020,19,深水涉,N.A.,8,38,65,25,10,5
1/7/2020,20,深水涉,N.A.,10,39,66,21,10,4
1/7/2020,21,深水涉,N.A.,11,31,48,27,11,4
1/7/2020,22,深水涉,N.A.,6,30,45,26,13,4
1/7/2020,23,深水涉,N.A.,5,28,43,24,13,4
1/7/2020,24,深水涉,N.A.,3,25,41,24,7,4
2/7/2020,1,深水涉,N.A.,2,N.A.,N.A.,N.A.,7,N.A.
2/7/2020,2,深水涉,N.A.,2,18,26,27,6,4
2/7/2020,3,深水涉,N.A.,2,16,23,31,8,4
2/7/2020,4,深水涉,N.A.,4,N.A.,N.A.,N.A.,9,N.A.
2/7/2020,5,深水涉,N.A.,4,19,28,32,10,5
2/7/2020,6,深水涉,N.A.,6,16,23,34,9,4
2/7/2020,7,深水涉,N.A.,4,30,50,20,8,4
2/7/2020,8,深水涉,N.A.,3,31,56,24,10,4
2/7/2020,9,深水涉,N.A.,5,38,74,22,10,4
2/7/2020,10,深水涉,N.A.,5,38,75,23,11,4
2/7/2020,11,深水涉,N.A.,7,N.A.,N.A.,N.A.,12,N.A.
2/7/2020,12,深水涉,N.A.,9,N.A.,N.A.,N.A.,16,N.A.
2/7/2020,13,深水涉,N.A.,10,N.A.,N.A.,N.A.,18,N.A.
2/7/2020,14,深水涉,N.A.,5,N.A.,N.A.,N.A.,15,N.A.
2/7/2020,15,深水涉,N.A.,3,N.A.,N.A.,N.A.,16,N.A.
2/7/2020,16,深水涉,N.A.,6,N.A.,N.A.,N.A.,18,N.A.
2/7/2020,17,深水涉,N.A.,5,N.A.,N.A.,N.A.,16,N.A.
2/7/2020,18,深水涉,N.A.,4,N.A.,N.A.,N.A.,14,N.A.
2/7/2020,19,深水涉,N.A.,2,N.A.,N.A.,N.A.,10,N.A.
2/7/2020,20,深水涉,N.A.,2,N.A.,N.A.,N.A.,11,N.A.
2/7/2020,21,深水涉,N.A.,5,N.A.,N.A.,N.A.,11,N.A.
2/7/2020,22,深水涉,N.A.,7,39,60,24,10,5
2/7/2020,23,深水涉,N.A.,7,37,55,24,14,4
2/7/2020,24,深水涉,N.A.,8,29,39,29,16,3
3/7/2020,1,深水涉,N.A.,10,20,27,37,15,3
3/7/2020,2,深水涉,N.A.,8,22,30,33,12,3
3/7/2020,3,深水涉,N.A.,9,18,26,35,15,2
