日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2
30/6/2020,1,观塘,N.A.,4,41,79,9,6,5
30/6/2020,2,观塘,N.A.,2,34,51,13,5,5
30/6/2020,3,观塘,N.A.,2,27,38,14,4,5
30/6/2020,4,观塘,N.A.,3,26,34,14,4,5
30/6/2020,5,观塘,N.A.,2,23,29,15,4,5
30/6/2020,6,观塘,N.A.,0,23,35,14,4,5
30/6/2020,7,观塘,N.A.,0,39,98,8,5,5
30/6/2020,8,观塘,N.A.,3,46,116,7,8,5
30/6/2020,9,观塘,N.A.,6,52,143,8,11,6
30/6/2020,10,观塘,N.A.,5,44,103,14,13,5
30/6/2020,11,观塘,N.A.,5,57,136,11,13,6
30/6/2020,12,观塘,N.A.,8,53,122,18,20,9
30/6/2020,13,观塘,N.A.,7,58,129,17,14,6
30/6/2020,14,观塘,N.A.,7,65,146,20,13,6
30/6/2020,15,观塘,N.A.,7,43,82,28,20,5
30/6/2020,16,观塘,N.A.,5,49,105,22,17,6
30/6/2020,17,观塘,N.A.,5,62,143,18,15,6
30/6/2020,18,观塘,N.A.,5,69,168,14,17,7
30/6/2020,19,观塘,N.A.,6,84,239,4,10,8
30/6/2020,20,观塘,N.A.,5,88,233,5,9,7
30/6/2020,21,观塘,N.A.,6,63,125,8,9,6
30/6/2020,22,观塘,N.A.,7,53,92,10,8,6
30/6/2020,23,观塘,N.A.,5,49,79,15,9,5
30/6/2020,24,观塘,N.A.,5,49,80,8,9,5
1/7/2020,1,观塘,N.A.,6,45,75,N.A.,6,6
1/7/2020,2,观塘,N.A.,4,32,44,8,6,5
1/7/2020,3,观塘,N.A.,2,25,33,9,5,5
1/7/2020,4,观塘,N.A.,2,N.A.,N.A.,N.A.,N.A.,N.A.
1/7/2020,5,观塘,N.A.,N.A.,25,31,14,N.A.,8
1/7/2020,6,观塘,N.A.,2,31,46,7,3,6
1/7/2020,7,观塘,N.A.,0,32,62,5,5,6
1/7/2020,8,观塘,N.A.,3,27,51,9,5,5
1/7/2020,9,观塘,N.A.,5,25,51,14,6,5
1/7/2020,10,观塘,N.A.,9,26,49,19,11,5
1/7/2020,11,观塘,N.A.,8,28,48,22,12,4
1/7/2020,12,观塘,N.A.,4,22,35,33,7,4
1/7/2020,13,观塘,N.A.,5,25,38,38,5,5
1/7/2020,14,观塘,N.A.,5,34,50,37,9,5
1/7/2020,15,观塘,N.A.,5,32,47,36,18,4
1/7/2020,16,观塘,N.A.,5,37,54,34,6,4
1/7/2020,17,观塘,N.A.,6,40,63,26,9,4
1/7/2020,18,观塘,N.A.,5,44,67,20,12,5
1/7/2020,19,观塘,N.A.,6,36,47,21,12,4
1/7/2020,20,观塘,N.A.,8,35,45,21,12,4
1/7/2020,21,观塘,N.A.,7,39,53,17,12,4
1/7/2020,22,观塘,N.A.,6,43,67,12,13,5
1/7/2020,23,观塘,N.A.,6,36,55,16,12,4
1/7/2020,24,观塘,N.A.,5,38,61,11,10,5
2/7/2020,1,观塘,N.A.,5,29,42,16,7,4
2/7/2020,2,观塘,N.A.,4,24,32,19,9,4
2/7/2020,3,观塘,N.A.,3,21,25,25,10,4
2/7/2020,4,观塘,N.A.,4,23,25,24,7,5
2/7/2020,5,观塘,N.A.,3,22,26,25,8,4
2/7/2020,6,观塘,N.A.,2,26,35,22,8,4
2/7/2020,7,观塘,N.A.,3,48,93,10,9,5
2/7/2020,8,观塘,N.A.,5,65,176,6,13,6
2/7/2020,9,观塘,N.A.,7,53,113,13,15,5
2/7/2020,10,观塘,N.A.,6,60,142,12,15,5
2/7/2020,11,观塘,N.A.,9,56,135,14,26,5
2/7/2020,12,观塘,N.A.,14,59,121,17,27,5
2/7/2020,13,观塘,N.A.,13,54,101,25,28,5
2/7/2020,14,观塘,N.A.,11,66,131,20,21,5
2/7/2020,15,观塘,N.A.,7,68,138,17,26,5
2/7/2020,16,观塘,N.A.,7,71,160,13,27,6
2/7/2020,17,观塘,N.A.,11,67,155,17,26,6
2/7/2020,18,观塘,N.A.,11,69,151,15,15,5
2/7/2020,19,观塘,N.A.,8,68,137,15,18,5
2/7/2020,20,观塘,N.A.,9,63,128,13,20,5
2/7/2020,21,观塘,N.A.,8,63,115,10,19,5
2/7/2020,22,观塘,N.A.,8,53,88,10,19,5
2/7/2020,23,观塘,N.A.,7,53,90,9,10,5
2/7/2020,24,观塘,N.A.,6,48,83,10,16,5
3/7/2020,1,观塘,N.A.,8,42,66,14,17,4
3/7/2020,2,观塘,N.A.,7,32,45,22,14,4
3/7/2020,3,观塘,N.A.,5,26,32,25,13,4
3/7/2020,4,观塘,N.A.,8,N.A.,N.A.,N.A.,11,N.A.
