日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2
30/6/2017,1,铜锣湾,57,18,63,288,1,23,6
30/6/2017,2,铜锣湾,56,15,70,279,2,20,5
30/6/2017,3,铜锣湾,57,9,62,190,2,12,6
30/6/2017,4,铜锣湾,43,8,31,86,2,10,7
30/6/2017,5,铜锣湾,37,8,32,87,2,11,8
30/6/2017,6,铜锣湾,38,6,32,79,4,8,6
30/6/2017,7,铜锣湾,47,10,46,142,2,12,6
30/6/2017,8,铜锣湾,50,19,82,348,2,26,9
30/6/2017,9,铜锣湾,54,17,95,459,4,24,12
30/6/2017,10,铜锣湾,61,16,94,466,4,22,11
30/6/2017,11,铜锣湾,63,20,99,444,3,28,10
30/6/2017,12,铜锣湾,60,18,88,385,5,26,11
30/6/2017,13,铜锣湾,62,29,92,332,6,38,9
30/6/2017,14,铜锣湾,50,20,79,292,9,28,9
30/6/2017,15,铜锣湾,44,20,72,241,9,28,9
30/6/2017,16,铜锣湾,42,12,70,236,12,19,8
30/6/2017,17,铜锣湾,53,10,91,324,2,17,8
30/6/2017,18,铜锣湾,59,21,103,409,3,28,9
30/6/2017,19,铜锣湾,67,26,114,446,2,32,10
30/6/2017,20,铜锣湾,73,30,111,471,2,36,9
30/6/2017,21,铜锣湾,62,33,69,217,2,40,5
30/6/2017,22,铜锣湾,58,23,65,192,3,29,4
30/6/2017,23,铜锣湾,51,25,66,211,2,33,5
30/6/2017,24,铜锣湾,54,25,75,286,1,33,6
1/7/2017,1,铜锣湾,66,20,56,227,2,27,6
1/7/2017,2,铜锣湾,58,15,44,164,4,19,5
1/7/2017,3,铜锣湾,63,6,46,233,4,9,7
1/7/2017,4,铜锣湾,89,5,42,156,6,6,7
1/7/2017,5,铜锣湾,52,7,37,123,6,8,6
1/7/2017,6,铜锣湾,50,8,41,139,4,9,8
1/7/2017,7,铜锣湾,65,8,52,217,2,11,11
1/7/2017,8,铜锣湾,73,13,64,328,3,17,9
1/7/2017,9,铜锣湾,62,11,92,502,4,15,13
1/7/2017,10,铜锣湾,51,9,78,344,6,12,11
1/7/2017,11,铜锣湾,79,10,140,709,3,13,15
1/7/2017,12,铜锣湾,72,17,121,623,4,21,12
1/7/2017,13,铜锣湾,69,18,120,593,6,23,12
1/7/2017,14,铜锣湾,60,19,90,414,6,24,9
1/7/2017,15,铜锣湾,54,19,53,180,12,25,5
1/7/2017,16,铜锣湾,48,6,21,34,14,12,3
1/7/2017,17,铜锣湾,47,7,15,25,14,14,3
1/7/2017,18,铜锣湾,49,N.A.,27,53,10,N.A.,3
1/7/2017,19,铜锣湾,60,N.A.,45,202,6,N.A.,5
1/7/2017,20,铜锣湾,62,16,85,434,4,24,8
1/7/2017,21,铜锣湾,91,20,114,527,3,29,10
1/7/2017,22,铜锣湾,73,18,88,411,3,27,8
1/7/2017,23,铜锣湾,65,20,82,332,3,31,7
1/7/2017,24,铜锣湾,62,21,71,281,2,32,6
2/7/2017,1,铜锣湾,65,16,49,171,5,26,4
2/7/2017,2,铜锣湾,78,10,41,170,4,17,4
2/7/2017,3,铜锣湾,63,8,36,118,5,15,4
2/7/2017,4,铜锣湾,57,9,36,112,5,17,3
2/7/2017,5,铜锣湾,49,6,26,91,10,13,4
2/7/2017,6,铜锣湾,49,7,37,111,5,14,4
2/7/2017,7,铜锣湾,58,10,49,165,4,18,4
2/7/2017,8,铜锣湾,63,10,63,219,3,19,5
2/7/2017,9,铜锣湾,58,12,83,328,3,20,7
2/7/2017,10,铜锣湾,61,13,86,337,3,23,7
2/7/2017,11,铜锣湾,63,19,99,374,4,29,7
2/7/2017,12,铜锣湾,68,18,105,472,4,30,9
2/7/2017,13,铜锣湾,69,19,75,305,5,30,7
2/7/2017,14,铜锣湾,60,19,81,322,6,29,7
2/7/2017,15,铜锣湾,77,15,96,450,4,27,8
2/7/2017,16,铜锣湾,69,16,95,396,5,26,8
2/7/2017,17,铜锣湾,54,15,88,328,8,24,7
2/7/2017,18,铜锣湾,61,14,89,410,6,23,8
2/7/2017,19,铜锣湾,70,18,103,490,3,28,8
2/7/2017,20,铜锣湾,58,22,57,183,7,34,5
2/7/2017,21,铜锣湾,88,19,116,567,2,30,9
2/7/2017,22,铜锣湾,59,20,85,328,4,31,7
2/7/2017,23,铜锣湾,97,19,79,325,3,27,6
2/7/2017,24,铜锣湾,N.A.,20,73,273,1,29,6
3/7/2017,1,铜锣湾,51,17,64,245,2,28,5
3/7/2017,2,铜锣湾,58,13,44,157,4,22,4
3/7/2017,3,铜锣湾,50,9,47,203,4,17,5
3/7/2017,4,铜锣湾,52,7,41,100,10,16,3
3/7/2017,5,铜锣湾,49,11,37,86,11,18,3
3/7/2017,6,铜锣湾,51,9,40,94,11,16,3
3/7/2017,7,铜锣湾,53,10,74,209,6,18,4
3/7/2017,8,铜锣湾,52,12,104,437,7,22,9
3/7/2017,9,铜锣湾,56,15,115,451,6,27,8
3/7/2017,10,铜锣湾,62,18,109,376,3,33,7
3/7/2017,11,铜锣湾,64,20,108,426,8,34,8
3/7/2017,12,铜锣湾,78,16,116,536,2,30,9
3/7/2017,13,铜锣湾,85,28,168,679,3,40,11
3/7/2017,14,铜锣湾,88,32,112,543,2,43,10
3/7/2017,15,铜锣湾,77,30,89,438,2,41,8
3/7/2017,16,铜锣湾,73,21,95,395,3,34,8
3/7/2017,17,铜锣湾,66,15,110,528,3,28,10
3/7/2017,18,铜锣湾,79,17,129,622,3,28,11
3/7/2017,19,铜锣湾,70,16,97,459,3,21,9
3/7/2017,20,铜锣湾,107,20,133,700,1,29,12
3/7/2017,21,铜锣湾,56,27,64,161,2,36,4
3/7/2017,22,铜锣湾,47,24,51,93,3,34,3
3/7/2017,23,铜锣湾,64,34,86,339,1,44,6
3/7/2017,24,铜锣湾,60,25,69,241,2,36,5
4/7/2017,1,铜锣湾,N.A.,18,60,174,4,27,4
4/7/2017,2,铜锣湾,56,12,45,109,5,20,3
4/7/2017,3,铜锣湾,53,9,43,111,4,17,3
4/7/2017,4,铜锣湾,N.A.,8,47,127,6,13,2
4/7/2017,5,铜锣湾,60,4,40,82,6,8,3
4/7/2017,6,铜锣湾,65,7,46,122,4,14,3
4/7/2017,7,铜锣湾,69,11,76,272,1,17,5
4/7/2017,8,铜锣湾,52,21,62,188,2,28,4
4/7/2017,9,铜锣湾,79,21,123,575,2,28,10
4/7/2017,10,铜锣湾,72,19,77,315,2,28,7
4/7/2017,11,铜锣湾,74,21,90,407,3,29,7
4/7/2017,12,铜锣湾,55,24,86,259,3,34,5
4/7/2017,13,铜锣湾,49,26,63,176,5,33,4
4/7/2017,14,铜锣湾,61,21,87,266,5,30,5
4/7/2017,15,铜锣湾,78,20,96,469,3,30,9
4/7/2017,16,铜锣湾,66,15,73,275,2,23,6
4/7/2017,17,铜锣湾,57,22,63,174,2,29,4
4/7/2017,18,铜锣湾,51,22,47,119,3,29,3
4/7/2017,19,铜锣湾,59,26,46,146,3,34,4
4/7/2017,20,铜锣湾,95,30,94,473,2,39,9
4/7/2017,21,铜锣湾,78,28,69,290,2,37,6
4/7/2017,22,铜锣湾,50,27,46,106,2,35,3
4/7/2017,23,铜锣湾,56,24,59,218,1,33,5
4/7/2017,24,铜锣湾,N.A.,26,N.A.,N.A.,N.A.,34,N.A.
5/7/2017,1,铜锣湾,46,21,43,190,2,30,4
5/7/2017,2,铜锣湾,42,11,39,133,3,16,4
5/7/2017,3,铜锣湾,46,8,39,194,3,12,5
5/7/2017,4,铜锣湾,45,6,41,168,4,11,4
5/7/2017,5,铜锣湾,47,6,41,99,4,13,3
5/7/2017,6,铜锣湾,31,9,30,59,7,15,3
5/7/2017,7,铜锣湾,39,9,40,111,4,14,3
5/7/2017,8,铜锣湾,57,15,88,395,2,20,7
5/7/2017,9,铜锣湾,49,18,67,253,2,26,6
5/7/2017,10,铜锣湾,53,22,16,371,4,31,8
5/7/2017,11,铜锣湾,N.A.,20,N.A.,N.A.,N.A.,30,N.A.
5/7/2017,12,铜锣湾,N.A.,16,N.A.,N.A.,N.A.,26,N.A.
5/7/2017,13,铜锣湾,N.A.,20,N.A.,N.A.,N.A.,28,N.A.
5/7/2017,14,铜锣湾,N.A.,21,N.A.,N.A.,N.A.,29,N.A.
5/7/2017,15,铜锣湾,N.A.,23,N.A.,N.A.,N.A.,32,N.A.
5/7/2017,16,铜锣湾,48,18,66,183,6,27,1
5/7/2017,17,铜锣湾,53,16,90,319,5,24,3
5/7/2017,18,铜锣湾,66,11,81,288,3,17,4
5/7/2017,19,铜锣湾,53,12,62,195,4,18,2
5/7/2017,20,铜锣湾,67,17,102,449,2,23,5
5/7/2017,21,铜锣湾,73,22,79,298,2,29,4
5/7/2017,22,铜锣湾,56,21,65,224,3,29,2
5/7/2017,23,铜锣湾,63,20,89,340,2,27,3
5/7/2017,24,铜锣湾,51,21,60,205,3,30,2
6/7/2017,1,铜锣湾,56,20,43,140,5,26,0
6/7/2017,2,铜锣湾,47,12,31,75,8,17,0
6/7/2017,3,铜锣湾,50,8,30,91,8,13,0
6/7/2017,4,铜锣湾,42,5,25,49,10,11,0
6/7/2017,5,铜锣湾,43,5,27,56,10,11,0
6/7/2017,6,铜锣湾,40,5,25,54,13,9,0
6/7/2017,7,铜锣湾,48,3,48,157,6,8,1
6/7/2017,8,铜锣湾,50,13,79,286,2,18,3
6/7/2017,9,铜锣湾,57,14,76,322,2,20,3
6/7/2017,10,铜锣湾,63,13,89,359,2,22,4
6/7/2017,11,铜锣湾,78,17,83,315,2,28,4
6/7/2017,12,铜锣湾,78,28,79,335,2,47,5
6/7/2017,13,铜锣湾,70,23,93,391,2,35,4
6/7/2017,14,铜锣湾,62,21,75,260,2,30,3
6/7/2017,15,铜锣湾,57,19,69,232,3,27,3
6/7/2017,16,铜锣湾,60,13,82,293,2,21,3
6/7/2017,17,铜锣湾,77,15,99,461,2,24,6
6/7/2017,18,铜锣湾,74,23,88,366,1,32,4
6/7/2017,19,铜锣湾,74,23,109,488,1,31,6
6/7/2017,20,铜锣湾,57,27,85,311,3,35,3
6/7/2017,21,铜锣湾,61,23,72,252,2,31,2
6/7/2017,22,铜锣湾,53,18,75,262,3,27,2
6/7/2017,23,铜锣湾,70,18,96,321,2,26,3
6/7/2017,24,铜锣湾,71,16,80,303,2,23,3
7/7/2017,1,铜锣湾,52,14,75,418,1,22,5
7/7/2017,2,铜锣湾,65,11,54,259,3,18,3
7/7/2017,3,铜锣湾,50,10,53,178,3,17,2
7/7/2017,4,铜锣湾,45,8,29,93,10,14,1
7/7/2017,5,铜锣湾,45,5,34,85,7,10,0
7/7/2017,6,铜锣湾,41,5,31,63,9,10,0
7/7/2017,7,铜锣湾,64,7,63,230,4,13,2
7/7/2017,8,铜锣湾,55,15,125,443,3,22,5
7/7/2017,9,铜锣湾,54,17,91,359,3,26,4
7/7/2017,10,铜锣湾,61,16,112,492,3,26,5
7/7/2017,11,铜锣湾,55,19,65,199,9,31,2
7/7/2017,12,铜锣湾,N.A.,12,N.A.,N.A.,N.A.,25,N.A.
7/7/2017,13,铜锣湾,N.A.,15,N.A.,N.A.,N.A.,25,N.A.
7/7/2017,14,铜锣湾,N.A.,13,N.A.,N.A.,N.A.,20,N.A.
7/7/2017,15,铜锣湾,84,18,114,534,3,24,7
7/7/2017,16,铜锣湾,80,24,114,671,2,31,10
7/7/2017,17,铜锣湾,67,20,100,389,2,30,5
7/7/2017,18,铜锣湾,64,20,102,433,3,29,5
7/7/2017,19,铜锣湾,87,21,120,604,2,30,8
7/7/2017,20,铜锣湾,75,29,90,371,2,38,4
7/7/2017,21,铜锣湾,72,27,73,257,4,36,3
7/7/2017,22,铜锣湾,64,28,88,352,2,35,4
7/7/2017,23,铜锣湾,68,23,104,408,3,31,5
7/7/2017,24,铜锣湾,60,24,82,320,2,32,3
8/7/2017,1,铜锣湾,78,15,62,248,3,22,2
8/7/2017,2,铜锣湾,58,14,54,170,9,23,1
8/7/2017,3,铜锣湾,77,11,41,115,10,18,1
8/7/2017,4,铜锣湾,79,7,44,134,8,14,0
8/7/2017,5,铜锣湾,68,8,34,102,14,15,1
8/7/2017,6,铜锣湾,41,6,28,80,19,12,0
8/7/2017,7,铜锣湾,77,6,57,177,8,11,1
8/7/2017,8,铜锣湾,62,12,75,331,5,19,4
8/7/2017,9,铜锣湾,63,18,92,460,3,25,5
8/7/2017,10,铜锣湾,53,18,73,233,7,28,3
8/7/2017,11,铜锣湾,65,14,77,310,7,24,3
8/7/2017,12,铜锣湾,88,19,95,482,3,31,6
8/7/2017,13,铜锣湾,104,26,103,674,3,38,10
8/7/2017,14,铜锣湾,90,33,97,467,2,47,6
8/7/2017,15,铜锣湾,69,31,95,408,2,46,5
8/7/2017,16,铜锣湾,59,25,107,416,4,38,5
8/7/2017,17,铜锣湾,63,26,113,515,3,38,7
8/7/2017,18,铜锣湾,80,21,140,599,2,33,7
8/7/2017,19,铜锣湾,79,24,107,475,2,35,6
8/7/2017,20,铜锣湾,77,27,86,382,2,39,4
8/7/2017,21,铜锣湾,100,28,116,636,2,41,8
8/7/2017,22,铜锣湾,N.A.,27,101,496,2,38,6
8/7/2017,23,铜锣湾,70,22,83,379,1,33,4
8/7/2017,24,铜锣湾,65,21,58,244,2,32,2
9/7/2017,1,铜锣湾,51,14,37,106,6,24,1
9/7/2017,2,铜锣湾,53,13,30,84,6,21,0
9/7/2017,3,铜锣湾,54,8,35,106,9,14,1
9/7/2017,4,铜锣湾,125,8,42,122,5,14,2
9/7/2017,5,铜锣湾,N.A.,5,32,94,7,11,3
9/7/2017,6,铜锣湾,68,7,36,100,6,12,5
9/7/2017,7,铜锣湾,47,6,42,130,6,12,5
9/7/2017,8,铜锣湾,44,12,63,201,5,18,6
9/7/2017,9,铜锣湾,53,15,83,394,4,22,5
9/7/2017,10,铜锣湾,46,13,75,326,8,20,4
9/7/2017,11,铜锣湾,50,9,53,200,10,15,2
9/7/2017,12,铜锣湾,50,11,71,310,12,19,3
9/7/2017,13,铜锣湾,74,18,101,543,5,26,7
9/7/2017,14,铜锣湾,58,22,91,332,9,30,3
9/7/2017,15,铜锣湾,56,15,79,229,7,23,2
9/7/2017,16,铜锣湾,55,23,96,288,5,31,3
9/7/2017,17,铜锣湾,55,23,87,294,4,32,3
9/7/2017,18,铜锣湾,58,18,120,437,3,27,5
9/7/2017,19,铜锣湾,72,25,116,469,3,34,5
9/7/2017,20,铜锣湾,76,27,97,438,3,36,5
9/7/2017,21,铜锣湾,67,25,81,294,6,34,3
9/7/2017,22,铜锣湾,83,22,106,445,3,31,5
9/7/2017,23,铜锣湾,59,20,66,273,5,28,3
9/7/2017,24,铜锣湾,N.A.,13,60,220,6,20,2
10/7/2017,1,铜锣湾,47,11,52,202,6,16,3
10/7/2017,2,铜锣湾,37,11,52,170,9,15,4
10/7/2017,3,铜锣湾,29,5,43,111,9,9,7
10/7/2017,4,铜锣湾,77,6,32,130,8,10,2
10/7/2017,5,铜锣湾,36,5,23,64,14,10,3
10/7/2017,6,铜锣湾,65,4,47,138,7,7,4
10/7/2017,7,铜锣湾,62,9,48,148,8,13,4
10/7/2017,8,铜锣湾,46,11,84,326,5,16,6
10/7/2017,9,铜锣湾,70,12,135,705,3,19,12
10/7/2017,10,铜锣湾,56,19,63,494,4,27,10
10/7/2017,11,铜锣湾,60,25,101,400,5,34,7
10/7/2017,12,铜锣湾,61,22,87,369,8,29,7
10/7/2017,13,铜锣湾,61,19,79,311,6,27,4
10/7/2017,14,铜锣湾,56,17,72,235,6,25,3
10/7/2017,15,铜锣湾,60,18,71,212,5,27,2
10/7/2017,16,铜锣湾,57,19,78,227,4,27,3
10/7/2017,17,铜锣湾,57,20,93,328,2,28,4
10/7/2017,18,铜锣湾,52,20,89,322,2,28,5
10/7/2017,19,铜锣湾,76,17,167,790,2,27,10
10/7/2017,20,铜锣湾,65,25,138,579,2,33,7
10/7/2017,21,铜锣湾,76,25,106,424,1,33,5
10/7/2017,22,铜锣湾,71,28,90,339,1,35,4
10/7/2017,23,铜锣湾,69,26,104,469,1,33,6
10/7/2017,24,铜锣湾,62,18,100,389,1,26,5
11/7/2017,1,铜锣湾,59,19,69,248,1,26,7
11/7/2017,2,铜锣湾,79,15,42,148,3,24,9
11/7/2017,3,铜锣湾,74,7,39,181,3,13,7
11/7/2017,4,铜锣湾,80,8,36,135,2,17,6
11/7/2017,5,铜锣湾,52,8,34,117,3,14,5
11/7/2017,6,铜锣湾,59,9,32,90,5,12,4
11/7/2017,7,铜锣湾,62,8,63,285,2,11,6
11/7/2017,8,铜锣湾,63,13,102,542,2,19,9
11/7/2017,9,铜锣湾,57,20,137,602,3,26,9
11/7/2017,10,铜锣湾,72,18,130,662,4,24,12
11/7/2017,11,铜锣湾,80,17,105,398,4,25,7
11/7/2017,12,铜锣湾,N.A.,20,N.A.,N.A.,N.A.,27,N.A.
11/7/2017,13,铜锣湾,N.A.,22,N.A.,N.A.,N.A.,29,N.A.
11/7/2017,14,铜锣湾,N.A.,19,N.A.,N.A.,N.A.,26,N.A.
11/7/2017,15,铜锣湾,N.A.,21,N.A.,N.A.,N.A.,29,N.A.
11/7/2017,16,铜锣湾,N.A.,17,N.A.,N.A.,N.A.,26,N.A.
11/7/2017,17,铜锣湾,63,24,141,551,3,34,8
11/7/2017,18,铜锣湾,62,27,126,528,2,36,7
11/7/2017,19,铜锣湾,64,23,96,452,2,30,6
11/7/2017,20,铜锣湾,71,27,94,530,2,35,7
11/7/2017,21,铜锣湾,52,26,46,161,3,30,2
11/7/2017,22,铜锣湾,42,23,42,150,4,29,1
11/7/2017,23,铜锣湾,55,24,67,302,2,32,4
11/7/2017,24,铜锣湾,48,20,60,281,2,26,3
12/7/2017,1,铜锣湾,47,12,55,290,3,17,5
12/7/2017,2,铜锣湾,45,13,34,220,4,21,4
12/7/2017,3,铜锣湾,65,8,35,254,3,14,5
12/7/2017,4,铜锣湾,47,12,27,92,7,16,1
12/7/2017,5,铜锣湾,38,11,29,99,8,14,3
12/7/2017,6,铜锣湾,69,8,37,127,4,10,4
12/7/2017,7,铜锣湾,42,9,48,166,3,11,4
12/7/2017,8,铜锣湾,58,16,83,421,3,20,8
12/7/2017,9,铜锣湾,52,20,64,277,3,25,6
12/7/2017,10,铜锣湾,46,23,57,200,3,29,4
12/7/2017,11,铜锣湾,45,24,50,148,6,32,3
12/7/2017,12,铜锣湾,42,20,50,135,8,30,2
12/7/2017,13,铜锣湾,48,19,57,153,11,27,2
12/7/2017,14,铜锣湾,53,16,86,269,7,25,4
12/7/2017,15,铜锣湾,53,21,91,319,5,31,4
12/7/2017,16,铜锣湾,55,22,135,480,4,33,6
12/7/2017,17,铜锣湾,47,23,115,904,4,31,12
12/7/2017,18,铜锣湾,61,23,144,735,4,31,10
12/7/2017,19,铜锣湾,49,25,87,275,7,34,3
12/7/2017,20,铜锣湾,43,25,55,131,10,33,1
12/7/2017,21,铜锣湾,55,22,51,128,8,30,1
12/7/2017,22,铜锣湾,52,26,48,125,4,33,1
12/7/2017,23,铜锣湾,59,23,67,302,2,28,4
12/7/2017,24,铜锣湾,58,18,99,413,2,23,5
13/7/2017,1,铜锣湾,119,16,61,289,3,22,4
13/7/2017,2,铜锣湾,63,9,43,155,4,14,3
13/7/2017,3,铜锣湾,59,9,39,145,5,12,3
13/7/2017,4,铜锣湾,61,N.A.,33,136,4,N.A.,3
13/7/2017,5,铜锣湾,40,N.A.,29,86,5,N.A.,2
13/7/2017,6,铜锣湾,31,7,19,39,13,10,1
13/7/2017,7,铜锣湾,37,14,33,105,6,16,2
13/7/2017,8,铜锣湾,43,16,68,291,4,22,6
13/7/2017,9,铜锣湾,43,17,53,222,4,24,5
13/7/2017,10,铜锣湾,55,21,54,199,5,31,4
13/7/2017,11,铜锣湾,55,19,56,191,5,32,4
13/7/2017,12,铜锣湾,43,19,51,151,8,31,3
13/7/2017,13,铜锣湾,44,16,43,114,13,27,2
13/7/2017,14,铜锣湾,42,12,57,190,11,23,2
13/7/2017,15,铜锣湾,40,17,55,178,9,29,2
13/7/2017,16,铜锣湾,44,15,62,201,7,24,2
13/7/2017,17,铜锣湾,50,19,67,241,6,27,3
13/7/2017,18,铜锣湾,55,15,78,341,3,27,4
13/7/2017,19,铜锣湾,46,18,75,316,3,28,4
13/7/2017,20,铜锣湾,44,25,47,158,5,35,2
13/7/2017,21,铜锣湾,44,20,38,124,5,30,1
13/7/2017,22,铜锣湾,42,18,43,135,5,26,1
13/7/2017,23,铜锣湾,41,18,43,158,5,26,2
13/7/2017,24,铜锣湾,41,13,44,177,4,20,1
14/7/2017,1,铜锣湾,42,13,38,188,6,20,3
14/7/2017,2,铜锣湾,57,8,35,178,6,13,3
14/7/2017,3,铜锣湾,41,8,25,115,7,13,2
14/7/2017,4,铜锣湾,36,7,25,57,10,11,0
14/7/2017,5,铜锣湾,N.A.,9,22,50,11,12,1
14/7/2017,6,铜锣湾,37,6,20,50,11,10,2
14/7/2017,7,铜锣湾,34,6,31,87,8,10,3
14/7/2017,8,铜锣湾,39,12,51,189,4,19,7
14/7/2017,9,铜锣湾,42,17,46,168,5,23,5
14/7/2017,10,铜锣湾,41,17,51,161,5,27,4
14/7/2017,11,铜锣湾,45,14,60,195,6,25,4
14/7/2017,12,铜锣湾,45,19,54,200,7,28,3
14/7/2017,13,铜锣湾,41,18,49,157,8,27,2
14/7/2017,14,铜锣湾,42,18,45,127,8,26,2
14/7/2017,15,铜锣湾,40,16,48,137,7,28,1
14/7/2017,16,铜锣湾,40,16,46,139,9,24,2
14/7/2017,17,铜锣湾,41,16,46,142,7,24,2
14/7/2017,18,铜锣湾,41,19,45,138,7,27,2
14/7/2017,19,铜锣湾,46,23,56,190,4,34,3
14/7/2017,20,铜锣湾,47,22,60,189,4,32,3
14/7/2017,21,铜锣湾,50,24,47,165,5,31,2
14/7/2017,22,铜锣湾,50,16,43,172,5,21,2
