年月,隧道和大桥类别,行驶方向,日期,星期,时段,时刻,私家车的士电单车,单层巴士小巴5.5公吨及以下货车,双层巴士及5.5公吨以上货车,车流量
201301,KTT,EB,2013/1/11,5,4 PM,16,,,,1965
201301,TLT,NB,2013/1/31,4,7 PM,19,1775,640,621,3036
201301,KTT,WB,2013/1/12,6,9 AM,09,,,,2667
201301,EHC,SB,2013/1/11,5,9 AM,09,2316,760,276,3352
201301,TKOT,WB,2013/1/30,3,7 AM,07,2455,707,223,3385
201301,TLT,SB,2013/1/18,5,8 AM,08,2166,761,1047,3974
201301,CHT,SB,2013/1/31,4,11 PM,23,2682,342,180,3204
201301,LRT,SB,2013/1/27,7,6 PM,18,2718,206,225,3149
201301,SMT,WB,2013/1/31,4,8 AM,08,1441,487,340,2268
201301,ABT,SB,2013/1/8,2,7 AM,07,1547,436,475,2458
201301,TKOT,EB,2013/1/7,1,6 PM,18,2611,569,216,3396
201301,TCT,NB,2013/1/14,1,6 PM,18,2245,391,227,2863
201301,ABT,NB,2013/1/28,1,7 AM,07,1674,486,326,2486
201301,EHC,NB,2013/1/18,5,6 PM,18,2480,535,179,3194
201301,WHC,NB,2013/1/25,5,6 PM,18,2623,650,209,3482
201301,TCT,SB,2013/1/25,5,8 AM,08,2277,394,393,3064
201301,LTL,EB,2013/1/25,5,6 PM,18,1999,468,342,2809
201301,LTL,WB,,,N.A.,N.A.,,,,
201301,LRT,NB,2013/1/23,3,5 PM,17,2002,578,437,3017
201301,TSCA,NB,2013/1/14,1,6 PM,18,1715,323,230,2268
201301,CHT,NB,2013/1/4,5,11 PM,23,2625,307,189,3121
201301,WHC,SB,2013/1/28,1,8 AM,08,2504,635,333,3472
201301,SMT,EB,2013/1/18,5,6 PM,18,1380,434,277,2091
201301,TSCA,SB,2013/1/31,4,8 AM,08,2293,389,317,2999
201302,SMT,EB,2013/2/7,4,6 PM,18,1512,396,213,2121
201302,CHT,NB,2013/2/27,3,11 PM,23,2683,294,182,3159
201302,KTT,WB,2013/2/2,6,9 AM,09,,,,2567
201302,TSCA,SB,2013/2/27,3,8 AM,08,2370,371,273,3014
201302,LTL,EB,2013/2/1,5,6 PM,18,2010,462,363,2835
201302,TLT,NB,2013/2/1,5,6 PM,18,1580,521,669,2770
201302,TKOT,EB,2013/2/7,4,7 PM,19,2745,486,164,3395
201302,LTL,WB,,,N.A.,N.A.,,,,
201302,ABT,NB,2013/2/25,1,7 AM,07,1814,303,372,2489
201302,TCT,SB,2013/2/25,1,8 AM,08,2293,368,371,3032
201302,SMT,WB,2013/2/22,5,8 AM,08,1488,457,292,2237
201302,WHC,NB,2013/2/1,5,6 PM,18,2555,670,222,3447
201302,TKOT,WB,2013/2/1,5,7 AM,07,2469,692,203,3364
201302,TCT,NB,2013/2/5,2,7 PM,19,2252,335,262,2849
201302,ABT,SB,2013/2/22,5,7 AM,07,1611,467,421,2499
201302,KTT,EB,2013/2/4,1,9 AM,09,,,,1892
201302,EHC,SB,2013/2/1,5,9 AM,09,2332,762,271,3365
201302,WHC,SB,2013/2/25,1,8 AM,08,2561,619,363,3543
201302,TSCA,NB,2013/2/5,2,6 PM,18,1649,349,270,2268
201302,LRT,NB,2013/2/4,1,7 PM,19,2405,319,302,3026
201302,TLT,SB,2013/2/4,1,8 AM,08,2087,722,839,3648
201302,CHT,SB,2013/2/5,2,10 PM,22,2634,330,210,3174
201302,LRT,SB,2013/2/10,7,12 PM,12,2762,180,212,3154
201302,EHC,NB,2013/2/1,5,5 PM,17,2203,755,258,3216
201303,TLT,NB,2013/3/1,5,6 PM,18,2099,807,753,3659
201303,TSCA,SB,2013/3/22,5,8 AM,08,2346,426,266,3038
201303,EHC,NB,2013/3/15,5,6 PM,18,2559,465,178,3202
201303,TKOT,EB,2013/3/12,2,6 PM,18,2483,622,265,3370
201303,WHC,SB,2013/3/18,1,8 AM,08,2677,619,346,3642
201303,LTL,WB,,,N.A.,N.A.,,,,
201303,TCT,NB,2013/3/14,4,6 PM,18,2195,348,241,2784
201303,TSCA,NB,2013/3/20,3,6 PM,18,1736,330,209,2275
201303,WHC,NB,2013/3/22,5,6 PM,18,2686,654,207,3547
201303,SMT,EB,2013/3/22,5,6 PM,18,1415,435,243,2093
201303,LRT,NB,2013/3/5,2,6 PM,18,2185,500,321,3006
201303,CHT,NB,2013/3/13,3,11 PM,23,2706,271,204,3181
201303,KTT,EB,2013/3/1,5,4 PM,16,,,,1914
201303,LTL,EB,2013/3/22,5,6 PM,18,2169,466,338,2973
201303,TKOT,WB,2013/3/5,2,7 AM,07,2541,598,211,3350
201303,CHT,SB,2013/3/8,5,11 PM,23,2756,270,157,3183
201303,LRT,SB,2013/3/2,6,6 PM,18,2637,256,249,3142
201303,ABT,NB,2013/3/12,2,7 AM,07,1777,362,375,2514
201303,TCT,SB,2013/3/22,5,8 AM,08,2271,392,364,3027
201303,SMT,WB,2013/3/11,1,8 AM,08,1498,471,298,2267
201303,TLT,SB,2013/3/22,5,8 AM,08,2103,739,914,3756
201303,KTT,WB,2013/3/2,6,9 AM,09,,,,2579
201303,ABT,SB,2013/3/7,4,7 AM,07,1638,390,448,2476
201303,EHC,SB,2013/3/12,2,9 AM,09,2341,751,251,3343
201304,SMT,EB,2013/4/8,1,6 PM,18,1384,455,250,2089
201304,TCT,NB,2013/4/8,1,6 PM,18,2196,384,246,2826
201304,WHC,SB,2013/4/15,1,8 AM,08,2541,666,345,3552
201304,SMT,WB,2013/4/22,1,8 AM,08,1562,476,274,2312
201304,CHT,NB,2013/4/26,5,11 PM,23,2620,308,190,3118
201304,WHC,NB,2013/4/30,2,6 PM,18,2689,661,228,3578
201304,TLT,SB,2013/4/26,5,8 AM,08,2004,661,946,3611
201304,TLT,NB,2013/4/10,3,7 PM,19,1861,611,608,3080
201304,KTT,WB,2013/4/20,6,9 AM,09,,,,2657
201304,TSCA,NB,2013/4/16,2,6 PM,18,1733,325,220,2278
201304,LTL,EB,2013/4/12,5,6 PM,18,2284,507,320,3111
201304,ABT,SB,2013/4/16,2,7 AM,07,1514,486,428,2428
201304,LTL,WB,,,N.A.,N.A.,,,,
201304,LRT,SB,2013/4/16,2,7 AM,07,2234,456,423,3113
201304,LRT,NB,2013/4/23,2,6 PM,18,2384,341,345,3070
201304,ABT,NB,2013/4/15,1,7 AM,07,1622,440,417,2479
201304,EHC,SB,2013/4/30,2,9 AM,09,2361,702,256,3319
201304,KTT,EB,2013/4/19,5,4 PM,16,,,,1951
201304,TCT,SB,2013/4/8,1,8 AM,08,2287,360,372,3019
201304,TSCA,SB,2013/4/26,5,8 AM,08,2333,398,271,3002
201304,EHC,NB,2013/4/19,5,6 PM,18,2420,513,201,3134
201304,CHT,SB,2013/4/14,7,10 AM,10,2414,573,199,3186
201304,TKOT,WB,2013/4/24,3,7 AM,07,2466,612,225,3303
201304,TKOT,EB,2013/4/22,1,6 PM,18,2517,622,232,3371
201305,WHC,NB,2013/5/24,5,6 PM,18,2704,703,219,3626
201305,LTL,WB,,,N.A.,N.A.,,,,
201305,CHT,NB,2013/5/29,3,11 PM,23,2648,287,197,3132
201305,EHC,SB,2013/5/16,4,9 AM,09,2218,773,280,3271
201305,TSCA,SB,2013/5/13,1,8 AM,08,2373,393,259,3025
201305,TCT,SB,2013/5/10,5,8 AM,08,2226,388,370,2984
201305,SMT,EB,2013/5/27,1,6 PM,18,1421,467,224,2112
201305,ABT,SB,2013/5/30,4,7 AM,07,1515,491,457,2463
201305,LRT,SB,2013/5/3,5,7 AM,07,2188,458,466,3112
201305,TCT,NB,2013/5/8,3,7 PM,19,2287,276,238,2801
201305,TLT,NB,2013/5/3,5,7 PM,19,1707,499,524,2730
201305,TSCA,NB,2013/5/8,3,6 PM,18,1776,368,249,2393
201305,WHC,SB,2013/5/20,1,8 AM,08,2570,624,349,3543
201305,SMT,WB,2013/5/20,1,6 PM,18,1383,579,305,2267
201305,TLT,SB,2013/5/10,5,8 AM,08,2032,667,982,3681
201305,TKOT,EB,2013/5/14,2,6 PM,18,2423,631,302,3356
201305,KTT,EB,2013/5/7,2,9 AM,09,,,,1923
201305,TKOT,WB,2013/5/8,3,7 AM,07,2564,603,225,3392
